0.48148148148148145 481
Python,TestBench
0,1010110101,1010110110

1,0111000111,1000000000

2,1110010111,1110011000

3,0010000000,0010000001

4,0100010110,1000000000

5,1000111110,0111111111

6,0011010110,1000000000

7,0100101010,0100101011

8,1010011000,0111111111

9,1000011101,1000011110

10,1111111011,1111111100

11,0010100111,0010101000

12,0010011001,0010011010

13,1000101100,0111111111

14,1010001100,1010001101

15,0000000111,0000001000

16,1101100000,1101100001

17,1011100001,0111111111

18,1111011000,1111011001

19,0101101110,1000000000

20,1110100000,1110100001

21,1111001100,1111001101

22,1000010111,0111111111

23,0000100100,0000100101

24,1000101000,1000101001

25,1010101000,0111111111

26,1111101110,1111101111

27,1010101001,1010101010

28,1001101001,0111111111

29,1011101010,1011101011

30,0011100101,0011100110

31,0011110000,0011110001

32,0000001100,0000001101

33,1011011000,1011011001

34,0110110111,0110111000

35,0000010111,0000011000

36,1100010110,0111111111

37,1011101010,0111111111

38,1110011110,1110011111

39,1001010010,1001010011

40,1101111001,0111111111

41,0011000000,0011000001

42,1000110111,1000111000

43,1110111111,1111000000

44,0111000101,1000000000

45,0010111001,0010111010

46,1010100010,1010100011

47,0010101011,0010101100

48,0000101100,0000101101

49,1101100101,1101100110

50,0101111100,1000000000

51,1110111100,1110111101

52,1110110101,1110110110

53,0011111000,0011111001

54,1100100011,1100100100

55,0110110011,1000000000

56,1111001111,1111010000

57,1000100101,0111111111

58,1111111100,1111111101

59,0010111110,0010111111

60,0001101101,0001101110

61,1110100101,1110100110

62,0000000010,0000000011

63,0100111100,0100111101

64,0100001100,1000000000

65,0001011101,0001011110

66,1000100110,1000100111

67,1000110011,0111111111

68,1010111101,1010111110

69,1000101000,1000101001

70,1111010110,1111010111

71,1110011100,1110011101

72,1101101111,1101110000

73,1111001011,1111001100

74,1010101111,0111111111

75,1010010001,0111111111

76,0000011001,0000011010

77,0000011101,0000011110

78,0010110010,0010110011

79,0010100001,1000000000

80,0101110010,1000000000

81,0111010001,1000000000

82,1010000000,0111111111

83,1000011110,0111111111

84,1101011001,0111111111

85,1110011101,0111111111

86,1000010010,0111111111

87,1001111101,0111111111

88,1101001010,1101001011

89,1011011000,1011011001

90,1100111100,1100111101

91,1010110110,1010110111

92,0101111111,1000000000

93,1110001100,1110001101

94,0011111011,1000000000

95,0000000011,0000000100

96,0000010000,0000010001

97,1111001011,1111001100

98,1000100011,0111111111

99,0000110000,0000110001

100,1100111011,0111111111

101,0111100100,1000000000

