0.19119119119119118 191
Python,TestBench
0,110100110,110100111

1,111010111,111011000

2,110010101,110010110

3,000010110,000010111

4,100110111,100111000

5,001111011,001111100

6,110101110,110101111

7,111000100,111000101

8,000111111,001000000

9,111110001,111110010

10,010000100,010000101

11,000011001,000011010

12,011111011,011111100

13,111010101,111010110

14,101100101,101100110

15,000000011,000000100

16,101001110,101001111

17,101000001,101000010

18,110101001,110101010

19,110011010,110011011

20,101001000,101001001

21,010000110,010000111

22,110010000,110010001

23,011101010,011101011

24,110001011,110001100

25,001100110,001100111

26,001000000,001000001

27,101010011,101010100

28,100100001,100100010

29,010100011,010100100

30,110001011,110001100

31,101101110,101101111

32,111001011,111001100

33,110101011,110101100

34,011110010,011110011

35,111101011,111101100

36,111111011,111111100

37,001111100,001111101

38,100111110,100111111

39,100110101,100110110

40,101101110,101101111

41,010111110,010111111

42,000011111,000100000

43,111110000,111110001

44,101110001,101110010

45,001010101,001010110

46,010100010,010100011

47,011011010,011011011

48,111011000,111011001

49,000000001,000000010

50,000111000,000111001

51,100110001,100110010

52,000011010,000011011

53,110001100,110001101

54,110110000,110110001

55,000011000,000011001

56,111010101,111010110

57,100100101,100100110

58,110000000,110000001

59,000101111,000110000

60,101001010,101001011

61,011011101,011011110

62,001101011,001101100

63,000011111,000100000

64,100101010,100101011

65,101000010,101000011

66,011011010,011011011

67,111010101,111010110

68,110011011,110011100

69,110000101,110000110

70,011101101,011101110

71,010000001,010000010

72,001010101,001010110

73,011000110,011000111

74,110010001,110010010

75,100011111,100100000

76,001011110,001011111

77,110111110,110111111

78,111100010,111100011

79,010110100,010110101

80,010001100,010001101

81,110100101,110100110

82,010011000,010011001

83,110011011,110011100

84,101001011,101001100

85,000011101,000011110

86,001111101,001111110

87,101001011,101001100

88,111011010,111011011

89,110011101,110011110

90,101010011,101010100

91,100101100,100101101

92,001000010,001000011

93,110101110,110101111

94,001010101,001010110

95,110100101,110100110

96,111001100,111001101

97,001110110,001110111

98,001010110,001010111

99,111100100,111100101

100,011100010,011100011

101,001001101,001001110

102,011111110,011111111

103,001010010,001010011

104,010100101,010100110

105,101010010,101010011

106,110000000,110000001

107,100111110,100111111

108,110001000,110001001

109,011100100,011100101

110,101110111,101111000

111,110001111,110010000

112,110111011,110111100

113,001011000,001011001

114,101110011,101110100

115,110100010,110100011

116,000101100,000101101

117,000000100,000000101

118,100111000,100111001

119,010001100,010001101

120,100000100,100000101

121,101011011,101011100

122,001000001,001000010

123,010110110,010110111

124,101010001,101010010

125,010000101,010000110

126,101001101,101001110

127,110010000,110010001

128,000110110,000110111

129,000000111,000001000

130,111101001,111101010

131,100001011,100001100

132,111010001,111010010

133,001011010,001011011

134,111011011,111011100

135,011010011,011010100

136,000010001,000010010

137,010000010,010000011

138,010010110,010010111

139,100001001,100001010

140,101100010,101100011

141,100001001,100001010

142,000001010,000001011

143,001011111,001100000

144,110110101,110110110

145,010110110,010110111

146,100101010,100101011

147,101101101,101101110

148,101110111,101111000

149,001001100,001001101

150,110110100,110110101

151,110011111,110100000

152,010011111,010100000

153,111111000,111111001

154,111111001,111111010

155,111100101,111100110

156,111100110,111100111

157,100111110,100111111

158,110000101,110000110

159,001101101,001101110

160,011111001,011111010

161,101101001,101101010

162,110100101,110100110

163,011110001,011110010

164,010100111,010101000

165,011000010,011000011

166,000000001,000000010

167,010100001,010100010

168,100110101,100110110

169,101111101,101111110

170,111100110,111100111

171,111101100,111101101

172,001110011,001110100

173,111010100,111010101

174,101001011,101001100

175,100001110,100001111

176,001101111,001110000

177,010001110,010001111

178,110000101,110000110

179,001001101,001001110

180,110111011,110111100

181,110001010,110001011

182,000101011,000101100

183,101011110,101011111

184,011110011,011110100

185,000101000,000101001

186,011100101,011100110

187,001100110,001100111

188,110101000,110101001

189,000101000,000101001

190,101001011,101001100

