0.5035035035035035 503
Index,Python,TestBench
0,1,0

1,0,1

2,1,0

3,0,1

4,1,0

5,0,1

6,1,0

7,0,1

8,1,0

9,0,1

10,1,0

11,0,1

12,1,0

13,0,1

14,1,0

15,0,1

16,1,0

17,0,1

18,1,0

19,0,1

20,1,0

21,0,1

22,1,0

23,0,1

24,1,0

25,0,1

26,1,0

27,0,1

28,1,0

29,0,1

30,1,0

31,0,1

32,1,0

33,0,1

34,1,0

35,0,1

36,1,0

37,0,1

38,1,0

39,0,1

40,1,0

41,0,1

42,1,0

43,0,1

44,1,0

45,0,1

46,1,0

47,0,1

48,1,0

49,0,1

50,1,0

51,0,1

52,1,0

53,0,1

54,1,0

55,0,1

56,1,0

57,0,1

58,1,0

59,0,1

60,1,0

61,0,1

62,1,0

63,0,1

64,1,0

65,0,1

66,1,0

67,0,1

68,1,0

69,0,1

70,1,0

71,0,1

72,1,0

73,0,1

74,1,0

75,0,1

76,1,0

77,0,1

78,1,0

79,0,1

80,1,0

81,0,1

82,1,0

83,0,1

84,1,0

85,0,1

86,1,0

87,0,1

88,1,0

89,0,1

90,1,0

91,0,1

92,1,0

93,0,1

94,1,0

95,0,1

96,1,0

97,0,1

98,1,0

99,0,1

100,1,0

101,0,1

102,1,0

103,0,1

104,1,0

105,0,1

106,1,0

107,0,1

108,1,0

109,0,1

110,1,0

111,0,1

112,1,0

113,0,1

114,1,0

115,0,1

116,1,0

117,0,1

118,1,0

119,0,1

120,1,0

121,0,1

122,1,0

123,0,1

124,1,0

125,0,1

126,1,0

127,0,1

128,1,0

129,0,1

130,1,0

131,0,1

132,1,0

133,0,1

134,1,0

135,0,1

136,1,0

137,0,1

138,1,0

139,0,1

140,1,0

141,0,1

142,1,0

143,0,1

144,1,0

145,0,1

146,1,0

147,0,1

148,1,0

149,0,1

150,1,0

151,0,1

152,1,0

153,0,1

154,1,0

155,0,1

156,1,0

157,0,1

158,1,0

159,0,1

160,1,0

161,0,1

162,1,0

163,0,1

164,1,0

165,0,1

166,1,0

167,0,1

168,1,0

169,0,1

170,1,0

171,0,1

172,1,0

173,0,1

174,1,0

175,0,1

176,1,0

177,0,1

178,1,0

179,0,1

180,1,0

181,0,1

182,1,0

183,0,1

184,1,0

185,0,1

186,1,0

187,0,1

188,1,0

