0.5643910977744436 2257
Index,Python,TestBench
0,11111111,11111101

1,11111101,11111111

2,00001000,00010011

3,00010011,00001000

4,00000000,10000001

5,11010110,01111011

6,01111011,11010110

7,10000001,01111111

8,10111000,01100011

9,01100011,10111000

10,01111111,10000001

11,01011000,10100100

12,10100100,01011000

13,10000001,01111111

14,10100101,01011011

15,01011011,10100101

16,01111111,10000001

17,01011011,10100101

18,10100101,01011011

19,10000001,01111111

20,10100101,01011011

21,01011011,10100101

22,01111111,10000001

23,01011101,10101011

24,10101011,01011101

25,10000001,01111111

26,10010101,00110101

27,00110101,10010101

28,10101101,10101001

29,10101001,10101101

30,01111111,10000001

31,01000011,10110101

32,10110101,01000011

33,01100101,01110011

34,01110011,01100101

35,01110011,01100101

36,01100101,01110011

37,10000001,01111111

38,10110101,01000011

39,01000011,10110101

40,10101001,10101101

41,10101101,10101001

42,01111111,10000001

43,00110111,10011011

44,10011011,00110111

45,10000001,01111111

46,10011101,00111101

47,00111101,10011101

48,10100001,10001111

49,10001111,10100001

50,10001111,10100001

51,10100001,10001111

52,01111111,10000001

53,00111011,10010111

54,10010111,00111011

55,10000001,01111111

56,10101001,01010111

57,01010111,10101001

58,01111111,10000001

59,01101011,11001011

60,11001011,01101011

61,01010011,01010111

62,01010111,01010011

63,10000001,01111111

64,10111011,01000101

65,01000101,10111011

66,10101001,10101101

67,10101101,10101001

68,01111111,10000001

69,00110111,10011011

70,10011011,00110111

71,10000001,01111111

72,10011101,00111101

73,00111101,10011101

74,10011111,10001001

75,10001001,10011111

76,10000111,10011001

77,10011001,10000111

78,01111111,10000001

79,01001011,10111101

80,10111101,01001011

81,01010111,01010011

82,01010011,01010111

83,10000001,01111111

84,11001001,01100101

85,01100101,11001001

86,01111111,10000001

87,01100011,11000011

88,11000011,01100011

89,01100001,01110111

90,01110111,01100001

91,01110111,01100001

92,01100001,01110111

93,10000001,01111111

94,11000101,01101001

95,01101001,11000101

96,01111111,10000001

97,01010101,10100011

98,10100011,01010101

99,10000001,01111111

100,10100011,01010101

101,01010101,10100011

102,01111111,10000001

103,01101001,11000101

104,11000101,01101001

105,01011111,01110001

106,01110001,01011111

107,01110001,01011111

108,01011111,01110001

109,10000001,01111111

110,11000101,01101001

111,01101001,11000101

112,01111111,10000001

113,01010101,10100011

114,10100011,01010101

115,10000001,01111111

116,10100101,01011011

117,01011011,10100101

118,01111111,10000001

119,01011101,10101011

120,10101011,01011101

121,10000001,01111111

122,10010101,00110101

123,00110101,10010101

124,01111111,10000001

125,00110101,10010101

126,10010101,00110101

127,10000001,01111111

128,10101001,01010111

129,01010111,10101001

130,01111111,10000001

131,01101011,11001011

132,11001011,01101011

133,01010011,01010111

134,01010111,01010011

135,10000001,01111111

136,10111101,01001011

137,01001011,10111101

138,10011011,10001101

139,10001101,10011011

140,01111011,01111111

141,01111111,01111011

142,01111111,01111011

143,01111011,01111111

144,10001111,10100001

145,10100001,10001111

146,01111111,10000001

147,00111101,10011101

148,10011101,00111101

149,10000001,01111111

150,10011011,00110111

151,00110111,10011011

152,10101101,10101001

153,10101001,10101101

154,01111111,10000001

155,01000101,10111011

156,10111011,01000101

157,01010111,01010011

158,01010011,01010111

159,10000001,01111111

160,11001001,01100101

161,01100101,11001001

162,01111111,10000001

163,01100101,11001001

164,11001001,01100101

165,10000001,01111111

166,11001001,01100101

167,01100101,11001001

168,01111111,10000001

169,01100101,11001001

170,11001001,01100101

171,10000001,01111111

172,11001011,01101011

173,01101011,11001011

174,01111111,10000001

175,01010111,10101001

176,10101001,01010111

177,10000001,01111111

178,10010101,00110101

179,00110101,10010101

180,01111111,10000001

181,00110111,10011011

182,10011011,00110111

183,10000001,01111111

184,10011101,00111101

185,00111101,10011101

186,10100001,10001111

187,10001111,10100001

188,01111011,01111111

189,01111111,01111011

190,01111111,01111011

191,01111011,01111111

192,10001101,10011011

193,10011011,10001101

194,01111111,10000001

195,01001011,10111101

196,10111101,01001011

197,01010111,01010011

198,01010011,01010111

199,10000001,01111111

200,11001001,01100101

201,01100101,11001001

202,01111111,10000001

203,01100101,11001001

204,11001001,01100101

205,01010011,01010111

206,01010111,01010011

207,10000001,01111111

208,10111011,01000101

209,01000101,10111011

210,10101001,10101101

211,10101101,10101001

212,01111111,10000001

213,00110101,10010101

214,10010101,00110101

215,10000001,01111111

216,10101011,01011101

217,01011101,10101011

218,01111111,10000001

219,01011011,10100101

220,10100101,01011011

221,10000001,01111111

222,10100011,01010101

223,01010101,10100011

224,01111111,10000001

225,01101011,11001011

226,11001011,01101011

227,01010011,01010111

228,01010111,01010011

229,10000001,01111111

230,10111011,01000101

231,01000101,10111011

232,01111111,10000001

233,01000101,10111011

234,10111011,01000101

235,10000001,01111111

236,10111011,01000101

237,01000101,10111011

238,01111111,10000001

239,01000011,10110101

240,10110101,01000011

241,01100101,01110011

242,01110011,01100101

243,10000101,10000001

244,10000001,10000101

245,10000001,10000101

246,10000101,10000001

247,01110011,01100101

248,01100101,01110011

249,10000001,01111111

250,10110101,01000011

251,01000011,10110101

252,01111111,10000001

253,01000011,10110101

254,10110101,01000011

255,01100111,01111001

256,01111001,01100111

257,01111001,01100111

258,01100111,01111001

259,10000001,01111111

260,10110101,01000011

261,01000011,10110101

262,01111111,10000001

263,01000101,10111011

264,10111011,01000101

265,01010111,01010011

266,01010011,01010111

267,10000001,01111111

268,11001011,01101011

269,01101011,11001011

270,01111111,10000001

271,01010101,10100011

272,10100011,01010101

273,10000001,01111111

274,10100011,01010101

275,01010101,10100011

276,01111111,10000001

277,01101001,11000101

278,11000101,01101001

279,01100001,01110111

280,01110111,01100001

281,01111001,01100111

282,01100111,01111001

283,10000001,01111111

284,10110101,01000011

285,01000011,10110101

286,10101001,10101101

287,10101101,10101001

288,01111111,10000001

289,00110101,10010101

290,10010101,00110101

291,10000001,01111111

292,10101001,01010111

293,01010111,10101001

294,01111111,10000001

295,01101011,11001011

296,11001011,01101011

297,10000001,01111111

298,11001011,01101011

299,01101011,11001011

300,01111111,10000001

301,01010111,10101001

302,10101001,01010111

303,10000001,01111111

304,10010111,00111011

305,00111011,10010111

306,10100001,10001111

307,10001111,10100001

308,01111011,01111111

309,01111111,01111011

310,01111111,01111011

311,01111011,01111111

312,10001111,10100001

313,10100001,10001111

314,01111111,10000001

315,00111011,10010111

316,10010111,00111011

317,10000001,01111111

318,10101001,01010111

319,01010111,10101001

320,01111111,10000001

321,01101001,11000101

322,11000101,01101001

323,01100001,01110111

324,01110111,01100001

