0.5646411602900725 2258
Index,Python,TestBench
0,11111111,11111101

1,11111101,11111111

2,00001000,00010011

3,00010011,00001000

4,00000000,10000001

5,11011000,10000001

6,10000001,11011000

7,10000001,01111111

8,10101010,01000011

9,01000011,10101010

10,10011110,10001110

11,10001110,10011110

12,01111011,01111111

13,01111111,01111011

14,01111111,01111011

15,01111011,01111111

16,10001101,10011011

17,10011011,10001101

18,01111111,10000001

19,01001001,10110111

20,10110111,01001001

21,01100101,01110011

22,01110011,01100101

23,10000101,10000001

24,10000001,10000101

25,10000001,10000101

26,10000101,10000001

27,01110011,01100101

28,01100101,01110011

29,10000001,01111111

30,10110111,01001001

31,01001001,10110111

32,10011011,10001101

33,10001101,10011011

34,10001111,10100001

35,10100001,10001111

36,01111111,10000001

37,00111101,10011101

38,10011101,00111101

39,10000001,01111111

40,10011101,00111101

41,00111101,10011101

42,10100001,10001111

43,10001111,10100001

44,01111011,01111111

45,01111111,01111011

46,01111111,01111011

47,01111011,01111111

48,10001101,10011011

49,10011011,10001101

50,01111111,10000001

51,01001001,10110111

52,10110111,01001001

53,01100111,01111001

54,01111001,01100111

55,01110111,01100001

56,01100001,01110111

57,10000001,01111111

58,11000101,01101001

59,01101001,11000101

60,01111111,10000001

61,01010111,10101001

62,10101001,01010111

63,10000001,01111111

64,10010111,00111011

65,00111011,10010111

66,10011111,10001001

67,10001001,10011111

68,10000111,10011001

69,10011001,10000111

70,01111111,10000001

71,01001011,10111101

72,10111101,01001011

73,10000001,01111111

74,10111011,01000101

75,01000101,10111011

76,01111111,10000001

77,01000101,10111011

78,10111011,01000101

79,01010111,01010011

80,01010011,01010111

81,10000001,01111111

82,11001001,01100101

83,01100101,11001001

84,01111111,10000001

85,01100011,11000011

86,11000011,01100011

87,01011111,01110001

88,01110001,01011111

89,10000101,10000001

90,10000001,10000101

91,10000001,10000101

92,10000101,10000001

93,01110001,01011111

94,01011111,01110001

95,10000001,01111111

96,11000011,01100011

97,01100011,11000011

98,01111111,10000001

99,01100101,11001001

100,11001001,01100101

101,10000001,01111111

102,11001011,01101011

103,01101011,11001011

104,01111111,10000001

105,01010101,10100011

106,10100011,01010101

107,10000001,01111111

108,10100011,01010101

109,01010101,10100011

110,01111111,10000001

111,01101011,11001011

112,11001011,01101011

113,01010011,01010111

114,01010111,01010011

115,10000001,01111111

116,10111101,01001011

117,01001011,10111101

118,10011001,10000111

119,10000111,10011001

120,10001001,10011111

121,10011111,10001001

122,01111111,10000001

123,00111101,10011101

124,10011101,00111101

125,10000001,01111111

126,10011011,00110111

127,00110111,10011011

128,01111111,10000001

129,00110101,10010101

130,10010101,00110101

131,10000001,01111111

132,10101001,01010111

133,01010111,10101001

134,01111111,10000001

135,01101001,11000101

136,11000101,01101001

137,01100001,01110111

138,01110111,01100001

139,01111001,01100111

140,01100111,01111001

141,10000001,01111111

142,10110111,01001001

143,01001001,10110111

144,10011011,10001101

145,10001101,10011011

146,10001101,10011011

147,10011011,10001101

148,01111111,10000001

149,01001011,10111101

150,10111101,01001011

151,10000001,01111111

152,10111101,01001011

153,01001011,10111101

154,10011011,10001101

155,10001101,10011011

156,01111011,01111111

157,01111111,01111011

158,01111111,01111011

159,01111011,01111111

160,10001101,10011011

161,10011011,10001101

162,01111111,10000001

163,01001011,10111101

164,10111101,01001011

165,10000001,01111111

166,10111011,01000101

167,01000101,10111011

168,10101001,10101101

169,10101101,10101001

170,01111111,10000001

171,00110111,10011011

172,10011011,00110111

173,10000001,01111111

174,10011011,00110111

175,00110111,10011011

176,10101101,10101001

177,10101001,10101101

178,01111111,10000001

179,01000011,10110101

180,10110101,01000011

181,01100111,01111001

182,01111001,01100111

183,01110111,01100001

184,01100001,01110111

185,10000001,01111111

186,11000101,01101001

187,01101001,11000101

188,01111111,10000001

189,01010101,10100011

190,10100011,01010101

191,10000001,01111111

192,10100101,01011011

193,01011011,10100101

194,01111111,10000001

195,01011011,10100101

196,10100101,01011011

197,10000001,01111111

198,10100011,01010101

199,01010101,10100011

200,01111111,10000001

201,01101011,11001011

202,11001011,01101011

203,10000001,01111111

204,11001001,01100101

205,01100101,11001001

206,01111111,10000001

207,01100011,11000011

208,11000011,01100011

209,01100001,01110111

210,01110111,01100001

211,01111001,01100111

212,01100111,01111001

213,10000001,01111111

214,10110111,01001001

215,01001001,10110111

216,10011001,10000111

217,10000111,10011001

218,10000111,10011001

219,10011001,10000111

220,01111111,10000001

221,01001001,10110111

222,10110111,01001001

223,01100111,01111001

224,01111001,01100111

225,01111001,01100111

226,01100111,01111001

227,10000001,01111111

228,10110101,01000011

229,01000011,10110101

230,10101001,10101101

231,10101101,10101001

232,01111111,10000001

233,00110111,10011011

234,10011011,00110111

235,10000001,01111111

236,10011011,00110111

237,00110111,10011011

238,01111111,10000001

239,00110101,10010101

240,10010101,00110101

241,10000001,01111111

242,10101011,01011101

243,01011101,10101011

244,01111111,10000001

245,01011011,10100101

246,10100101,01011011

247,10000001,01111111

248,10100101,01011011

249,01011011,10100101

250,01111111,10000001

251,01011101,10101011

252,10101011,01011101

253,10000001,01111111

254,10010111,00111011

255,00111011,10010111

256,10011111,10001001

257,10001001,10011111

258,10000111,10011001

259,10011001,10000111

260,01111111,10000001

261,01001001,10110111

262,10110111,01001001

263,01100111,01111001

264,01111001,01100111

265,01110111,01100001

266,01100001,01110111

267,10000001,01111111

268,11000011,01100011

269,01100011,11000011

270,01111111,10000001

271,01100101,11001001

272,11001001,01100101

273,01010011,01010111

274,01010111,01010011

275,10000001,01111111

276,10111011,01000101

277,01000101,10111011

278,01111111,10000001

279,01000011,10110101

280,10110101,01000011

281,01100111,01111001

282,01111001,01100111

283,01110111,01100001

284,01100001,01110111

285,10000001,01111111

286,11000011,01100011

287,01100011,11000011

288,01111111,10000001

289,01100011,11000011

290,11000011,01100011

291,01100001,01110111

292,01110111,01100001

293,01110111,01100001

294,01100001,01110111

295,10000001,01111111

296,11000011,01100011

297,01100011,11000011

298,01111111,10000001

299,01100011,11000011

300,11000011,01100011

301,01011111,01110001

302,01110001,01011111

303,10000101,10000001

304,10000001,10000101

305,10000001,10000101

306,10000101,10000001

307,01110001,01011111

308,01011111,01110001

309,10000001,01111111

310,11000011,01100011

311,01100011,11000011

312,01111111,10000001

313,01100011,11000011

314,11000011,01100011

315,01011111,01110001

316,01110001,01011111

317,01110001,01011111

318,01011111,01110001

319,10000001,01111111

320,11000011,01100011

321,01100011,11000011

322,01111111,10000001

323,01100011,11000011

324,11000011,01100011

